empleado_identificacion,valor_analogico,voltaje,alcohol_ppm,fecha
EMP083,134,0.65,22.1,2025-11-04 11:41:33
EMP061,135,0.66,22.75,2025-11-04 11:41:39
EMP043,129,0.63,18.85,2025-11-04 11:41:45
EMP043,130,0.64,19.5,2025-11-04 11:41:50
EMP024,111,0.54,7.15,2025-11-04 11:41:55
EMP033,130,0.64,19.5,2025-11-04 11:42:08
EMP029,135,0.66,22.75,2025-11-04 11:42:56
EMP038,121,0.59,13.65,2025-11-04 11:43:07
EMP068,108,0.53,5.2,2025-11-04 11:43:15
EMP011,130,0.64,19.5,2025-11-04 11:43:23
EMP088,138,0.67,24.7,2025-11-04 11:43:38
EMP016,124,0.61,15.6,2025-11-04 11:44:18
EMP072,129,0.63,18.85,2025-11-04 11:44:28
EMP012,141,0.69,26.65,2025-11-04 11:44:43
EMP078,135,0.66,22.75,2025-11-04 11:45:31
EMP001,107,0.52,4.55,2025-11-04 11:45:43
EMP060,100,0.49,0.0,2025-11-04 11:46:10
EMP081,105,0.51,3.25,2025-11-04 11:46:11
EMP090,469,2.29,239.87,2025-11-04 11:46:37
EMP026,118,0.58,11.7,2025-11-04 11:46:50
EMP060,132,0.65,20.8,2025-11-04 11:47:42
EMP041,102,0.5,1.3,2025-11-04 11:48:02
EMP010,131,0.64,20.15,2025-11-04 11:48:44
EMP048,118,0.58,11.7,2025-11-04 11:49:11
EMP038,121,0.59,13.65,2025-11-04 11:49:18
EMP051,125,0.61,16.25,2025-11-04 11:49:41
EMP059,122,0.6,14.3,2025-11-04 11:49:52
EMP090,114,0.56,9.1,2025-11-04 11:50:56
EMP044,105,0.51,3.25,2025-11-04 11:51:03
EMP036,142,0.69,27.3,2025-11-04 11:51:23
EMP053,122,0.6,14.3,2025-11-04 11:51:37
EMP036,105,0.51,3.25,2025-11-04 11:51:48
EMP056,101,0.49,0.65,2025-11-04 11:51:48
EMP009,109,0.53,5.85,2025-11-04 11:52:01
EMP049,119,0.58,12.35,2025-11-04 11:52:32
EMP036,136,0.66,23.4,2025-11-04 11:52:57
EMP009,135,0.66,22.75,2025-11-04 11:53:30
EMP029,137,0.67,24.05,2025-11-04 11:53:46
EMP010,223,1.09,79.96,2025-11-04 11:54:43
EMP043,121,0.59,13.65,2025-11-04 11:55:10
EMP023,137,0.67,24.05,2025-11-04 11:55:25
EMP033,104,0.51,2.6,2025-11-04 11:55:31
EMP034,138,0.67,24.7,2025-11-04 11:56:20
EMP010,108,0.53,5.2,2025-11-04 11:56:43
EMP014,106,0.52,3.9,2025-11-04 11:57:06
EMP079,132,0.65,20.8,2025-11-04 11:57:28
EMP029,103,0.5,1.95,2025-11-04 11:57:59
EMP058,130,0.64,19.5,2025-11-04 11:58:21
EMP089,105,0.51,3.25,2025-11-04 11:58:41
EMP072,134,0.65,22.1,2025-11-04 11:58:44
EMP014,148,0.72,31.2,2025-11-04 11:59:31
EMP099,124,0.61,15.6,2025-11-04 11:59:41
EMP098,100,0.49,0.0,2025-11-04 11:59:43
EMP049,152,0.74,33.8,2025-11-04 11:59:44
EMP018,139,0.68,25.35,2025-11-04 12:01:57
EMP024,113,0.55,8.45,2025-11-04 12:01:57
EMP079,135,0.66,22.75,2025-11-04 12:02:26
EMP078,315,1.54,139.76,2025-11-04 12:02:34
EMP042,141,0.69,26.65,2025-11-04 12:03:11
EMP067,138,0.67,24.7,2025-11-04 12:03:21
EMP060,125,0.61,16.25,2025-11-04 12:04:13
EMP041,146,0.71,29.9,2025-11-04 12:04:29
EMP100,109,0.53,5.85,2025-11-04 12:04:34
EMP086,145,0.71,29.25,2025-11-04 12:05:09
EMP020,126,0.62,16.9,2025-11-04 12:05:15
EMP075,143,0.7,27.95,2025-11-04 12:06:18
EMP095,120,0.59,13.0,2025-11-04 12:06:24
EMP097,103,0.5,1.95,2025-11-04 12:07:11
EMP039,107,0.52,4.55,2025-11-04 12:08:04
EMP064,121,0.59,13.65,2025-11-04 12:08:25
EMP100,119,0.58,12.35,2025-11-04 12:08:40
EMP092,146,0.71,29.9,2025-11-04 12:09:40
EMP051,113,0.55,8.45,2025-11-04 12:09:55
EMP043,218,1.07,76.71,2025-11-04 12:10:48
EMP023,132,0.65,20.8,2025-11-04 12:11:08
EMP088,114,0.56,9.1,2025-11-04 12:11:50
EMP095,116,0.57,10.4,2025-11-04 12:12:33
EMP047,146,0.71,29.9,2025-11-04 12:12:43
EMP080,126,0.62,16.9,2025-11-04 12:13:44
EMP094,148,0.72,31.2,2025-11-04 12:13:54
EMP011,143,0.7,27.95,2025-11-04 12:14:17
EMP059,106,0.52,3.9,2025-11-04 12:15:02
EMP060,150,0.73,32.5,2025-11-04 12:15:03
EMP018,236,1.15,88.41,2025-11-04 12:15:06
EMP060,141,0.69,26.65,2025-11-04 12:15:26
EMP086,120,0.59,13.0,2025-11-04 12:15:49
EMP073,127,0.62,17.55,2025-11-04 12:16:01
EMP028,128,0.63,18.2,2025-11-04 12:16:03
EMP068,132,0.65,20.8,2025-11-04 12:16:47
EMP049,145,0.71,29.25,2025-11-04 12:18:17
EMP061,133,0.65,21.45,2025-11-04 12:18:20
EMP035,145,0.71,29.25,2025-11-04 12:19:13
EMP077,115,0.56,9.75,2025-11-04 12:19:24
EMP082,234,1.14,87.11,2025-11-04 12:19:53
EMP100,118,0.58,11.7,2025-11-04 12:21:10
EMP045,130,0.64,19.5,2025-11-04 12:22:03
EMP033,148,0.72,31.2,2025-11-04 12:22:35
EMP087,226,1.1,81.91,2025-11-04 12:22:42
EMP023,143,0.7,27.95,2025-11-04 12:23:27
EMP015,127,0.62,17.55,2025-11-04 12:23:55
EMP058,102,0.5,1.3,2025-11-04 12:24:01
EMP082,111,0.54,7.15,2025-11-04 12:24:05
EMP009,130,0.64,19.5,2025-11-04 12:24:31
EMP052,121,0.59,13.65,2025-11-04 12:24:52
EMP040,149,0.73,31.85,2025-11-04 12:27:47
EMP040,124,0.61,15.6,2025-11-04 12:28:32
EMP059,102,0.5,1.3,2025-11-04 12:28:39
EMP014,161,0.79,39.65,2025-11-04 12:28:52
EMP085,103,0.5,1.95,2025-11-04 12:29:06
EMP024,139,0.68,25.35,2025-11-04 12:29:16
EMP014,196,0.96,62.41,2025-11-04 12:29:40
EMP020,141,0.69,26.65,2025-11-04 12:30:06
EMP032,147,0.72,30.55,2025-11-04 12:30:09
EMP053,127,0.62,17.55,2025-11-04 12:30:14
EMP040,136,0.66,23.4,2025-11-04 12:30:29
EMP046,119,0.58,12.35,2025-11-04 12:30:49
EMP037,126,0.62,16.9,2025-11-04 12:32:03
EMP081,259,1.27,103.36,2025-11-04 12:33:16
EMP083,126,0.62,16.9,2025-11-04 12:33:17
EMP083,117,0.57,11.05,2025-11-04 12:33:18
EMP054,122,0.6,14.3,2025-11-04 12:33:53
EMP030,128,0.63,18.2,2025-11-04 12:34:24
EMP093,118,0.58,11.7,2025-11-04 12:34:52
EMP097,127,0.62,17.55,2025-11-04 12:35:13
EMP077,106,0.52,3.9,2025-11-04 12:36:31
EMP028,125,0.61,16.25,2025-11-04 12:36:56
EMP026,119,0.58,12.35,2025-11-04 12:37:24
EMP022,104,0.51,2.6,2025-11-04 12:37:32
EMP018,102,0.5,1.3,2025-11-04 12:37:56
EMP061,113,0.55,8.45,2025-11-04 12:38:13
EMP024,121,0.59,13.65,2025-11-04 12:41:50
EMP023,101,0.49,0.65,2025-11-04 12:42:25
EMP010,102,0.5,1.3,2025-11-04 12:42:40
EMP037,139,0.68,25.35,2025-11-04 12:42:40
EMP021,120,0.59,13.0,2025-11-04 12:43:00
EMP065,108,0.53,5.2,2025-11-04 12:43:11
EMP087,230,1.12,84.51,2025-11-04 12:43:39
EMP089,112,0.55,7.8,2025-11-04 12:43:56
EMP085,146,0.71,29.9,2025-11-04 12:44:05
EMP012,133,0.65,21.45,2025-11-04 12:44:39
EMP094,106,0.52,3.9,2025-11-04 12:45:29
EMP065,110,0.54,6.5,2025-11-04 12:45:42
EMP010,130,0.64,19.5,2025-11-04 12:46:01
EMP021,238,1.16,89.71,2025-11-04 12:46:36
EMP016,114,0.56,9.1,2025-11-04 12:46:57
EMP043,144,0.7,28.6,2025-11-04 12:47:54
EMP080,141,0.69,26.65,2025-11-04 12:48:05
EMP016,124,0.61,15.6,2025-11-04 12:49:09
EMP015,111,0.54,7.15,2025-11-04 12:50:01
EMP100,149,0.73,31.85,2025-11-04 12:50:17
EMP073,102,0.5,1.3,2025-11-04 12:50:23
EMP010,217,1.06,76.06,2025-11-04 12:50:23
EMP095,136,0.66,23.4,2025-11-04 12:51:08
EMP087,215,1.05,74.76,2025-11-04 12:51:09
EMP080,218,1.07,76.71,2025-11-04 12:51:54
EMP067,113,0.55,8.45,2025-11-04 12:52:28
EMP029,124,0.61,15.6,2025-11-04 12:53:52
EMP055,194,0.95,61.11,2025-11-04 12:54:00
EMP071,123,0.6,14.95,2025-11-04 12:54:07
EMP052,138,0.67,24.7,2025-11-04 12:54:46
EMP047,143,0.7,27.95,2025-11-04 12:54:54
EMP095,149,0.73,31.85,2025-11-04 12:55:34
EMP035,146,0.71,29.9,2025-11-04 12:55:56
EMP013,135,0.66,22.75,2025-11-04 12:56:58
EMP035,127,0.62,17.55,2025-11-04 12:57:13
EMP054,154,0.75,35.1,2025-11-04 12:57:30
EMP062,111,0.54,7.15,2025-11-04 12:58:05
EMP064,126,0.62,16.9,2025-11-04 12:58:19
EMP023,107,0.52,4.55,2025-11-04 12:59:05
EMP072,143,0.7,27.95,2025-11-04 12:59:07
EMP031,128,0.63,18.2,2025-11-04 12:59:09
EMP051,105,0.51,3.25,2025-11-04 12:59:49
EMP014,121,0.59,13.65,2025-11-04 13:00:18
EMP069,102,0.5,1.3,2025-11-04 13:00:28
EMP085,112,0.55,7.8,2025-11-04 13:01:03
EMP034,114,0.56,9.1,2025-11-04 13:01:55
EMP005,108,0.53,5.2,2025-11-04 13:02:11
EMP093,135,0.66,22.75,2025-11-04 13:02:19
EMP059,123,0.6,14.95,2025-11-04 13:02:31
EMP024,100,0.49,0.0,2025-11-04 13:02:36
EMP082,125,0.61,16.25,2025-11-04 13:02:54
EMP027,140,0.68,26.0,2025-11-04 13:03:01
EMP008,127,0.62,17.55,2025-11-04 13:03:16
EMP064,141,0.69,26.65,2025-11-04 13:03:27
EMP060,118,0.58,11.7,2025-11-04 13:04:33
EMP081,123,0.6,14.95,2025-11-04 13:05:26
EMP024,135,0.66,22.75,2025-11-04 13:05:36
EMP002,128,0.63,18.2,2025-11-04 13:06:00
EMP065,126,0.62,16.9,2025-11-04 13:06:07
EMP065,133,0.65,21.45,2025-11-04 13:06:14
EMP023,103,0.5,1.95,2025-11-04 13:06:19
EMP075,105,0.51,3.25,2025-11-04 13:06:24
EMP080,118,0.58,11.7,2025-11-04 13:07:00
EMP004,147,0.72,30.55,2025-11-04 13:07:03
EMP077,149,0.73,31.85,2025-11-04 13:07:25
EMP056,121,0.59,13.65,2025-11-04 13:07:46
EMP094,106,0.52,3.9,2025-11-04 13:09:04
EMP098,100,0.49,0.0,2025-11-04 13:09:05
EMP100,110,0.54,6.5,2025-11-04 13:09:05
EMP027,119,0.58,12.35,2025-11-04 13:09:20
EMP096,134,0.65,22.1,2025-11-04 13:09:51
EMP031,128,0.63,18.2,2025-11-04 13:10:00
EMP042,141,0.69,26.65,2025-11-04 13:10:05
EMP073,130,0.64,19.5,2025-11-04 13:10:13
EMP024,114,0.56,9.1,2025-11-04 13:10:42
EMP020,115,0.56,9.75,2025-11-04 13:11:49
EMP048,124,0.61,15.6,2025-11-04 13:11:56
EMP021,121,0.59,13.65,2025-11-04 13:12:04
EMP030,113,0.55,8.45,2025-11-04 13:13:14
EMP080,109,0.53,5.85,2025-11-04 13:13:19
EMP087,225,1.1,81.26,2025-11-04 13:13:29
EMP040,119,0.58,12.35,2025-11-04 13:13:46
EMP018,231,1.13,85.16,2025-11-04 13:14:06
EMP093,110,0.54,6.5,2025-11-04 13:14:18
EMP065,130,0.64,19.5,2025-11-04 13:14:27
EMP089,109,0.53,5.85,2025-11-04 13:14:39
EMP066,114,0.56,9.1,2025-11-04 13:15:14
EMP075,100,0.49,0.0,2025-11-04 13:15:25
EMP098,124,0.61,15.6,2025-11-04 13:15:32
EMP009,108,0.53,5.2,2025-11-04 13:15:38
EMP065,201,0.98,65.66,2025-11-04 13:17:08
EMP003,146,0.71,29.9,2025-11-04 13:17:46
EMP083,140,0.68,26.0,2025-11-04 13:17:53
EMP003,134,0.65,22.1,2025-11-04 13:18:48
EMP084,144,0.7,28.6,2025-11-04 13:18:56
EMP034,149,0.73,31.85,2025-11-04 13:19:09
EMP052,142,0.69,27.3,2025-11-04 13:19:17
EMP060,126,0.62,16.9,2025-11-04 13:19:49
EMP096,150,0.73,32.5,2025-11-04 13:19:54
EMP009,100,0.49,0.0,2025-11-04 13:20:34
EMP023,102,0.5,1.3,2025-11-04 13:21:00
EMP090,124,0.61,15.6,2025-11-04 13:21:06
EMP058,107,0.52,4.55,2025-11-04 13:21:08
EMP092,112,0.55,7.8,2025-11-04 13:21:18
EMP066,124,0.61,15.6,2025-11-04 13:21:37
EMP047,110,0.54,6.5,2025-11-04 13:21:51
EMP016,101,0.49,0.65,2025-11-04 13:22:42
EMP021,141,0.69,26.65,2025-11-04 13:23:10
EMP097,132,0.65,20.8,2025-11-04 13:23:15
EMP037,134,0.65,22.1,2025-11-04 13:23:24
EMP052,144,0.7,28.6,2025-11-04 13:23:31
EMP065,121,0.59,13.65,2025-11-04 13:24:10
EMP071,138,0.67,24.7,2025-11-04 13:24:10
EMP037,117,0.57,11.05,2025-11-04 13:24:17
EMP005,116,0.57,10.4,2025-11-04 13:25:09
EMP056,107,0.52,4.55,2025-11-04 13:25:20
EMP072,117,0.57,11.05,2025-11-04 13:26:15
EMP092,121,0.59,13.65,2025-11-04 13:27:33
EMP039,139,0.68,25.35,2025-11-04 13:28:30
EMP091,150,0.73,32.5,2025-11-04 13:29:15
EMP064,143,0.7,27.95,2025-11-04 13:29:36
EMP007,107,0.52,4.55,2025-11-04 13:29:46
EMP081,137,0.67,24.05,2025-11-04 13:31:16
EMP091,106,0.52,3.9,2025-11-04 13:31:54
EMP056,145,0.71,29.25,2025-11-04 13:32:15
EMP058,132,0.65,20.8,2025-11-04 13:32:21
EMP070,136,0.66,23.4,2025-11-04 13:33:56
EMP018,125,0.61,16.25,2025-11-04 13:34:23
EMP081,128,0.63,18.2,2025-11-04 13:34:55
EMP091,450,2.2,227.52,2025-11-04 13:35:10
EMP099,123,0.6,14.95,2025-11-04 13:35:58
EMP093,108,0.53,5.2,2025-11-04 13:36:07
EMP057,132,0.65,20.8,2025-11-04 13:36:10
EMP064,122,0.6,14.3,2025-11-04 13:36:10
EMP037,113,0.55,8.45,2025-11-04 13:36:14
EMP044,143,0.7,27.95,2025-11-04 13:36:33
EMP022,150,0.73,32.5,2025-11-04 13:36:44
EMP060,102,0.5,1.3,2025-11-04 13:36:54
EMP077,129,0.63,18.85,2025-11-04 13:37:42
EMP085,102,0.5,1.3,2025-11-04 13:38:11
EMP028,114,0.56,9.1,2025-11-04 13:38:34
EMP024,107,0.52,4.55,2025-11-04 13:39:13
EMP098,142,0.69,27.3,2025-11-04 13:39:19
EMP078,150,0.73,32.5,2025-11-04 13:39:20
EMP039,112,0.55,7.8,2025-11-04 13:39:34
EMP039,149,0.73,31.85,2025-11-04 13:40:59
EMP067,106,0.52,3.9,2025-11-04 13:41:00
EMP029,102,0.5,1.3,2025-11-04 13:41:59
EMP070,131,0.64,20.15,2025-11-04 13:43:22
EMP085,125,0.61,16.25,2025-11-04 13:43:24
EMP032,125,0.61,16.25,2025-11-04 13:43:56
EMP086,121,0.59,13.65,2025-11-04 13:44:22
EMP064,125,0.61,16.25,2025-11-04 13:44:56
EMP091,149,0.73,31.85,2025-11-04 13:46:04
EMP096,141,0.69,26.65,2025-11-04 13:46:40
EMP079,147,0.72,30.55,2025-11-04 13:47:48
EMP063,135,0.66,22.75,2025-11-04 13:50:54
EMP062,120,0.59,13.0,2025-11-04 13:51:11
EMP035,103,0.5,1.95,2025-11-04 13:51:11
EMP001,110,0.54,6.5,2025-11-04 13:51:21
EMP015,144,0.7,28.6,2025-11-04 13:51:28
EMP062,128,0.63,18.2,2025-11-04 13:52:03
EMP077,117,0.57,11.05,2025-11-04 13:53:36
EMP058,145,0.71,29.25,2025-11-04 13:53:38
EMP069,144,0.7,28.6,2025-11-04 13:54:05
EMP013,100,0.49,0.0,2025-11-04 13:54:11
EMP093,130,0.64,19.5,2025-11-04 13:54:16
EMP083,127,0.62,17.55,2025-11-04 13:54:36
EMP065,145,0.71,29.25,2025-11-04 13:54:59
EMP092,128,0.63,18.2,2025-11-04 13:55:14
EMP038,118,0.58,11.7,2025-11-04 13:55:25
EMP086,145,0.71,29.25,2025-11-04 13:55:30
EMP083,105,0.51,3.25,2025-11-04 13:55:38
EMP060,120,0.59,13.0,2025-11-04 13:59:29
EMP005,105,0.51,3.25,2025-11-04 13:59:53
EMP042,157,0.77,37.05,2025-11-04 14:00:03
EMP040,277,1.35,115.06,2025-11-04 14:00:12
EMP096,122,0.6,14.3,2025-11-04 14:01:07
EMP096,133,0.65,21.45,2025-11-04 14:01:09
EMP020,138,0.67,24.7,2025-11-04 14:01:38
EMP005,129,0.63,18.85,2025-11-04 14:01:57
EMP045,104,0.51,2.6,2025-11-04 14:02:50
EMP018,118,0.58,11.7,2025-11-04 14:03:00
EMP029,110,0.54,6.5,2025-11-04 14:03:18
EMP090,360,1.76,169.01,2025-11-04 14:03:41
EMP019,221,1.08,78.66,2025-11-04 14:04:10
EMP009,121,0.59,13.65,2025-11-04 14:05:25
EMP057,136,0.66,23.4,2025-11-04 14:05:36
EMP021,114,0.56,9.1,2025-11-04 14:05:53
EMP086,149,0.73,31.85,2025-11-04 14:06:40
EMP096,127,0.62,17.55,2025-11-04 14:06:52
EMP037,128,0.63,18.2,2025-11-04 14:06:55
EMP015,118,0.58,11.7,2025-11-04 14:08:32
EMP066,114,0.56,9.1,2025-11-04 14:09:01
EMP066,148,0.72,31.2,2025-11-04 14:09:02
EMP057,121,0.59,13.65,2025-11-04 14:09:13
EMP074,135,0.66,22.75,2025-11-04 14:09:55
EMP047,134,0.65,22.1,2025-11-04 14:10:02
EMP040,134,0.65,22.1,2025-11-04 14:10:52
EMP067,127,0.62,17.55,2025-11-04 14:11:17
EMP069,103,0.5,1.95,2025-11-04 14:12:03
EMP003,130,0.64,19.5,2025-11-04 14:12:14
EMP071,150,0.73,32.5,2025-11-04 14:13:09
EMP088,128,0.63,18.2,2025-11-04 14:13:21
EMP032,137,0.67,24.05,2025-11-04 14:14:06
EMP088,113,0.55,8.45,2025-11-04 14:14:28
EMP021,102,0.5,1.3,2025-11-04 14:14:54
EMP086,221,1.08,78.66,2025-11-04 14:15:11
EMP013,106,0.52,3.9,2025-11-04 14:15:57
EMP004,139,0.68,25.35,2025-11-04 14:16:33
EMP011,194,0.95,61.11,2025-11-04 14:16:35
EMP036,121,0.59,13.65,2025-11-04 14:16:50
EMP034,149,0.73,31.85,2025-11-04 14:17:22
EMP096,107,0.52,4.55,2025-11-04 14:17:32
EMP086,146,0.71,29.9,2025-11-04 14:17:46
EMP016,142,0.69,27.3,2025-11-04 14:17:58
EMP026,177,0.87,50.05,2025-11-04 14:18:00
EMP028,136,0.66,23.4,2025-11-04 14:18:07
EMP048,101,0.49,0.65,2025-11-04 14:18:39
EMP039,109,0.53,5.85,2025-11-04 14:19:15
EMP079,223,1.09,79.96,2025-11-04 14:19:21
EMP033,110,0.54,6.5,2025-11-04 14:19:45
