empleado_identificacion,valor_analogico,voltaje,alcohol_ppm,fecha
EMP008,126,0.62,22.1,2025-11-06 10:06:28
EMP036,109,0.53,7.65,2025-11-06 10:44:23
EMP001,177,0.87,65.45,2025-11-06 12:06:31
EMP052,171,0.84,60.35,2025-11-06 12:19:40
EMP028,160,0.78,51.0,2025-11-06 12:53:57
EMP042,134,0.65,28.9,2025-11-06 13:19:11
EMP070,131,0.64,26.35,2025-11-06 13:31:04
EMP033,134,0.65,28.9,2025-11-06 13:31:32
EMP008,267,1.3,141.95,2025-11-06 13:45:35
EMP037,149,0.73,41.65,2025-11-06 15:00:38
EMP027,114,0.56,11.9,2025-11-06 15:14:01
EMP042,145,0.71,38.25,2025-11-06 15:15:18
EMP018,179,0.87,67.15,2025-11-06 16:45:12
EMP032,178,0.87,66.3,2025-11-06 17:35:46
EMP030,189,0.92,75.65,2025-11-06 18:32:05
EMP006,180,0.88,68.0,2025-11-06 18:49:38
EMP044,127,0.62,22.95,2025-11-06 19:06:18
EMP018,111,0.54,9.35,2025-11-06 20:02:59
EMP020,180,0.88,68.0,2025-11-06 20:20:35
EMP024,140,0.68,34.0,2025-11-06 20:53:05
EMP033,118,0.58,15.3,2025-11-06 21:38:37
EMP027,155,0.76,46.75,2025-11-06 21:40:51
EMP017,113,0.55,11.05,2025-11-06 22:14:24
EMP028,156,0.76,47.6,2025-11-06 23:32:43
EMP011,112,0.55,10.2,2025-11-06 23:59:23
EMP068,110,0.54,8.5,2025-11-07 00:09:27
EMP062,147,0.72,39.95,2025-11-07 00:55:33
EMP035,176,0.86,64.6,2025-11-07 01:04:54
EMP060,154,0.75,45.9,2025-11-07 01:49:30
EMP063,113,0.55,11.05,2025-11-07 02:13:09
EMP028,102,0.5,1.7,2025-11-07 02:43:49
EMP061,130,0.64,25.5,2025-11-07 04:09:07
EMP049,389,1.9,245.65,2025-11-07 06:21:35
EMP046,133,0.65,28.05,2025-11-07 06:27:15
EMP017,105,0.51,4.25,2025-11-07 07:16:48
EMP028,104,0.51,3.4,2025-11-07 09:18:29
EMP071,100,0.49,0.0,2025-11-07 10:44:07
EMP029,134,0.65,28.9,2025-11-07 10:52:38
EMP027,174,0.85,62.9,2025-11-07 11:17:59
EMP046,165,0.81,55.25,2025-11-07 12:28:31
EMP060,144,0.7,37.4,2025-11-07 12:28:34
EMP048,170,0.83,59.5,2025-11-07 12:53:11
EMP054,153,0.75,45.05,2025-11-07 13:11:12
EMP033,255,1.25,131.75,2025-11-07 13:22:01
EMP067,119,0.58,16.15,2025-11-07 13:35:37
EMP007,116,0.57,13.6,2025-11-07 15:54:48
EMP062,162,0.79,52.7,2025-11-07 16:39:39
EMP027,157,0.77,48.45,2025-11-07 17:13:01
EMP012,160,0.78,51.0,2025-11-07 17:53:01
EMP020,174,0.85,62.9,2025-11-07 18:23:22
EMP041,121,0.59,17.85,2025-11-07 18:56:08
EMP057,157,0.77,48.45,2025-11-07 19:00:02
EMP068,108,0.53,6.8,2025-11-07 20:50:56
EMP009,145,0.71,38.25,2025-11-07 21:38:05
EMP023,131,0.64,26.35,2025-11-07 22:49:09
EMP017,132,0.65,27.2,2025-11-07 23:04:19
EMP025,165,0.81,55.25,2025-11-07 23:20:07
EMP004,130,0.64,25.5,2025-11-08 01:39:02
EMP052,101,0.49,0.85,2025-11-08 01:49:34
EMP052,240,1.17,119.0,2025-11-08 02:40:50
EMP058,142,0.69,35.7,2025-11-08 02:48:19
EMP047,145,0.71,38.25,2025-11-08 03:49:41
EMP060,136,0.66,30.6,2025-11-08 03:50:00
EMP032,170,0.83,59.5,2025-11-08 03:52:41
EMP044,156,0.76,47.6,2025-11-08 04:17:40
EMP044,125,0.61,21.25,2025-11-08 04:37:42
EMP050,144,0.7,37.4,2025-11-08 05:11:21
EMP009,116,0.57,13.6,2025-11-08 05:34:13
EMP037,124,0.61,20.4,2025-11-08 06:16:31
EMP056,167,0.82,56.95,2025-11-08 08:04:14
EMP066,142,0.69,35.7,2025-11-08 08:11:59
EMP051,157,0.77,48.45,2025-11-08 08:51:17
EMP004,133,0.65,28.05,2025-11-08 09:03:44
EMP003,141,0.69,34.85,2025-11-08 09:30:43
EMP044,154,0.75,45.9,2025-11-08 09:31:32
EMP018,103,0.5,2.55,2025-11-08 09:53:23
EMP072,178,0.87,66.3,2025-11-08 12:52:25
EMP001,160,0.78,51.0,2025-11-08 13:28:23
EMP050,154,0.75,45.9,2025-11-08 13:32:34
EMP034,116,0.57,13.6,2025-11-08 13:32:48
EMP048,297,1.45,167.45,2025-11-08 13:39:18
EMP071,127,0.62,22.95,2025-11-08 13:50:22
EMP072,138,0.67,32.3,2025-11-08 14:17:16
EMP046,140,0.68,34.0,2025-11-08 14:58:19
EMP018,197,0.96,82.45,2025-11-08 15:16:14
EMP016,177,0.87,65.45,2025-11-08 16:29:12
EMP046,110,0.54,8.5,2025-11-08 17:44:44
EMP003,116,0.57,13.6,2025-11-08 18:05:35
EMP019,112,0.55,10.2,2025-11-08 18:12:04
EMP035,158,0.77,49.3,2025-11-08 18:20:16
EMP044,135,0.66,29.75,2025-11-08 20:23:46
EMP020,163,0.8,53.55,2025-11-08 20:55:03
EMP004,118,0.58,15.3,2025-11-08 22:12:13
EMP039,127,0.62,22.95,2025-11-08 22:18:37
EMP020,153,0.75,45.05,2025-11-08 22:27:43
EMP072,108,0.53,6.8,2025-11-09 01:52:37
EMP034,179,0.87,67.15,2025-11-09 02:20:53
EMP065,403,1.97,257.55,2025-11-09 03:07:57
EMP007,137,0.67,31.45,2025-11-09 03:16:08
EMP023,206,1.01,90.1,2025-11-09 04:26:39
EMP006,131,0.64,26.35,2025-11-09 04:57:07
EMP010,173,0.85,62.05,2025-11-09 05:32:46
EMP069,122,0.6,18.7,2025-11-09 06:27:54
EMP001,145,0.71,38.25,2025-11-09 07:19:44
EMP058,112,0.55,10.2,2025-11-09 07:28:02
EMP013,154,0.75,45.9,2025-11-09 09:37:28
EMP075,167,0.82,56.95,2025-11-09 13:25:38
EMP060,115,0.56,12.75,2025-11-09 15:42:19
EMP070,135,0.66,29.75,2025-11-09 16:00:53
EMP067,163,0.8,53.55,2025-11-09 20:41:54
EMP013,146,0.71,39.1,2025-11-10 00:06:58
EMP049,131,0.64,26.35,2025-11-10 04:58:19
EMP075,122,0.6,18.7,2025-11-10 05:10:43
EMP005,175,0.86,63.75,2025-11-10 07:47:00
EMP074,101,0.49,0.85,2025-11-10 09:50:10
EMP067,579,2.83,407.15,2025-11-10 10:31:05
EMP057,143,0.7,36.55,2025-11-10 10:47:40
EMP018,177,0.87,65.45,2025-11-10 10:49:10
EMP029,111,0.54,9.35,2025-11-10 11:08:34
EMP059,149,0.73,41.65,2025-11-10 11:25:08
EMP008,107,0.52,5.95,2025-11-10 12:36:29
EMP009,121,0.59,17.85,2025-11-10 13:13:59
EMP064,148,0.72,40.8,2025-11-10 14:00:18
EMP052,142,0.69,35.7,2025-11-10 15:21:37
EMP033,127,0.62,22.95,2025-11-10 16:02:07
EMP055,169,0.83,58.65,2025-11-10 16:47:43
EMP021,146,0.71,39.1,2025-11-10 16:54:40
EMP047,173,0.85,62.05,2025-11-10 16:58:09
EMP004,115,0.56,12.75,2025-11-10 16:59:17
EMP030,291,1.42,162.35,2025-11-10 17:34:29
EMP023,120,0.59,17.0,2025-11-10 18:09:54
EMP007,184,0.9,71.4,2025-11-10 18:59:21
EMP019,173,0.85,62.05,2025-11-10 19:10:40
EMP058,101,0.49,0.85,2025-11-10 19:18:54
EMP054,149,0.73,41.65,2025-11-10 19:36:55
EMP062,177,0.87,65.45,2025-11-10 20:26:28
EMP025,160,0.78,51.0,2025-11-10 20:43:25
EMP038,116,0.57,13.6,2025-11-10 21:09:16
EMP002,130,0.64,25.5,2025-11-10 21:15:19
EMP060,104,0.51,3.4,2025-11-10 22:17:18
EMP042,130,0.64,25.5,2025-11-10 22:56:02
EMP053,258,1.26,134.3,2025-11-10 23:57:54
EMP041,109,0.53,7.65,2025-11-11 00:37:10
EMP049,160,0.78,51.0,2025-11-11 02:13:22
EMP037,129,0.63,24.65,2025-11-11 04:50:04
EMP007,111,0.54,9.35,2025-11-11 04:58:31
EMP064,134,0.65,28.9,2025-11-11 05:36:30
EMP047,175,0.86,63.75,2025-11-11 06:36:14
EMP026,141,0.69,34.85,2025-11-11 07:06:47
EMP073,157,0.77,48.45,2025-11-11 07:13:33
EMP048,229,1.12,109.65,2025-11-11 07:50:03
EMP027,160,0.78,51.0,2025-11-11 08:31:30
EMP026,168,0.82,57.8,2025-11-11 08:35:11
EMP046,219,1.07,101.15,2025-11-11 08:36:56
EMP026,174,0.85,62.9,2025-11-11 10:39:54
EMP062,136,0.66,30.6,2025-11-11 11:28:11
EMP074,157,0.77,48.45,2025-11-11 12:41:23
EMP006,159,0.78,50.15,2025-11-11 13:03:20
EMP016,124,0.61,20.4,2025-11-11 13:03:42
EMP059,174,0.85,62.9,2025-11-11 13:34:14
EMP026,144,0.7,37.4,2025-11-11 14:05:31
EMP040,154,0.75,45.9,2025-11-11 15:10:49
EMP011,151,0.74,43.35,2025-11-11 15:15:46
EMP025,146,0.71,39.1,2025-11-11 16:01:32
EMP067,135,0.66,29.75,2025-11-11 16:48:20
EMP033,154,0.75,45.9,2025-11-11 17:47:33
EMP028,156,0.76,47.6,2025-11-11 19:52:42
EMP001,138,0.67,32.3,2025-11-11 20:39:01
EMP040,123,0.6,19.55,2025-11-11 21:41:25
EMP060,156,0.76,47.6,2025-11-11 22:13:51
EMP050,164,0.8,54.4,2025-11-11 22:38:49
EMP033,169,0.83,58.65,2025-11-11 23:04:39
EMP058,104,0.51,3.4,2025-11-11 23:12:06
EMP017,111,0.54,9.35,2025-11-11 23:43:39
EMP072,142,0.69,35.7,2025-11-12 00:06:09
EMP032,159,0.78,50.15,2025-11-12 02:45:13
EMP023,109,0.53,7.65,2025-11-12 02:52:50
EMP026,456,2.23,302.6,2025-11-12 04:42:12
EMP060,139,0.68,33.15,2025-11-12 04:52:08
EMP009,167,0.82,56.95,2025-11-12 05:43:51
EMP028,125,0.61,21.25,2025-11-12 06:00:07
EMP015,118,0.58,15.3,2025-11-12 07:38:47
EMP054,124,0.61,20.4,2025-11-12 08:05:22
EMP016,154,0.75,45.9,2025-11-12 08:37:52
EMP054,108,0.53,6.8,2025-11-12 08:48:22
EMP033,105,0.51,4.25,2025-11-12 09:03:50
EMP027,142,0.69,35.7,2025-11-12 09:12:03
EMP016,171,0.84,60.35,2025-11-12 10:31:27
EMP047,108,0.53,6.8,2025-11-12 10:44:18
EMP015,114,0.56,11.9,2025-11-12 11:04:36
EMP015,165,0.81,55.25,2025-11-12 11:38:52
EMP015,155,0.76,46.75,2025-11-12 12:14:12
EMP006,158,0.77,49.3,2025-11-12 12:34:10
EMP021,153,0.75,45.05,2025-11-12 12:47:06
EMP073,218,1.07,100.3,2025-11-12 13:43:03
EMP032,165,0.81,55.25,2025-11-12 13:47:08
EMP014,169,0.83,58.65,2025-11-12 15:44:29
EMP001,117,0.57,14.45,2025-11-12 15:57:13
EMP069,572,2.8,401.2,2025-11-12 16:03:58
EMP007,108,0.53,6.8,2025-11-12 17:18:28
EMP009,164,0.8,54.4,2025-11-12 17:57:12
EMP011,105,0.51,4.25,2025-11-12 18:18:54
EMP075,132,0.65,27.2,2025-11-12 19:37:03
EMP007,174,0.85,62.9,2025-11-12 19:37:15
EMP024,235,1.15,114.75,2025-11-12 20:25:18
EMP043,111,0.54,9.35,2025-11-12 20:26:31
EMP040,137,0.67,31.45,2025-11-12 20:54:43
EMP048,135,0.66,29.75,2025-11-12 21:42:24
EMP042,174,0.85,62.9,2025-11-12 23:44:52
EMP052,109,0.53,7.65,2025-11-13 02:00:07
EMP002,171,0.84,60.35,2025-11-13 02:59:33
EMP050,109,0.53,7.65,2025-11-13 03:32:21
EMP013,798,3.9,593.3,2025-11-13 03:36:15
EMP021,150,0.73,42.5,2025-11-13 03:52:27
EMP057,145,0.71,38.25,2025-11-13 04:04:18
EMP012,150,0.73,42.5,2025-11-13 04:16:58
EMP025,121,0.59,17.85,2025-11-13 04:39:14
EMP012,160,0.78,51.0,2025-11-13 06:33:42
EMP053,102,0.5,1.7,2025-11-13 06:41:00
EMP063,120,0.59,17.0,2025-11-13 06:57:53
EMP067,120,0.59,17.0,2025-11-13 07:06:02
EMP073,144,0.7,37.4,2025-11-13 07:08:47
EMP014,179,0.87,67.15,2025-11-13 07:25:28
EMP028,160,0.78,51.0,2025-11-13 07:30:06
EMP060,126,0.62,22.1,2025-11-13 08:12:14
EMP045,125,0.61,21.25,2025-11-13 08:42:05
EMP005,169,0.83,58.65,2025-11-13 08:55:43
EMP042,150,0.73,42.5,2025-11-13 10:17:42
EMP036,141,0.69,34.85,2025-11-13 10:39:40
EMP062,165,0.81,55.25,2025-11-13 11:25:51
EMP027,103,0.5,2.55,2025-11-13 12:57:53
EMP043,153,0.75,45.05,2025-11-13 13:38:16
EMP005,154,0.75,45.9,2025-11-13 13:47:31
EMP068,154,0.75,45.9,2025-11-13 13:50:51
EMP042,133,0.65,28.05,2025-11-13 13:52:43
EMP013,166,0.81,56.1,2025-11-13 14:11:14
EMP057,169,0.83,58.65,2025-11-13 16:16:43
EMP068,141,0.69,34.85,2025-11-13 17:09:25
EMP004,112,0.55,10.2,2025-11-13 18:14:38
EMP024,140,0.68,34.0,2025-11-13 18:35:01
EMP001,107,0.52,5.95,2025-11-13 19:01:14
EMP061,154,0.75,45.9,2025-11-13 19:02:16
EMP031,180,0.88,68.0,2025-11-13 20:09:44
EMP029,133,0.65,28.05,2025-11-13 20:22:44
EMP029,115,0.56,12.75,2025-11-13 20:31:40
EMP036,156,0.76,47.6,2025-11-13 20:45:03
EMP022,126,0.62,22.1,2025-11-13 21:03:11
EMP038,109,0.53,7.65,2025-11-13 22:10:25
EMP055,180,0.88,68.0,2025-11-13 22:33:53
EMP011,125,0.61,21.25,2025-11-14 01:00:11
EMP016,133,0.65,28.05,2025-11-14 01:11:21
EMP016,147,0.72,39.95,2025-11-14 01:49:55
EMP047,179,0.87,67.15,2025-11-14 02:12:02
EMP027,163,0.8,53.55,2025-11-14 02:21:29
EMP019,118,0.58,15.3,2025-11-14 05:23:16
EMP011,140,0.68,34.0,2025-11-14 05:23:27
EMP039,102,0.5,1.7,2025-11-14 06:52:07
EMP067,118,0.58,15.3,2025-11-14 07:40:49
EMP029,161,0.79,51.85,2025-11-14 07:42:13
EMP039,142,0.69,35.7,2025-11-14 07:44:42
EMP025,245,1.2,123.25,2025-11-14 07:47:20
EMP033,130,0.64,25.5,2025-11-14 07:55:14
EMP046,115,0.56,12.75,2025-11-14 10:45:40
EMP051,118,0.58,15.3,2025-11-14 10:55:44
EMP029,135,0.66,29.75,2025-11-14 10:57:51
EMP073,221,1.08,102.85,2025-11-14 11:04:53
EMP064,128,0.63,23.8,2025-11-14 11:07:08
EMP056,156,0.76,47.6,2025-11-14 12:14:10
EMP040,164,0.8,54.4,2025-11-14 14:00:46
EMP019,106,0.52,5.1,2025-11-14 15:51:32
EMP025,388,1.9,244.8,2025-11-14 18:41:09
EMP071,161,0.79,51.85,2025-11-14 18:44:14
EMP017,152,0.74,44.2,2025-11-14 18:54:28
EMP027,131,0.64,26.35,2025-11-14 19:26:21
EMP015,133,0.65,28.05,2025-11-14 20:00:47
EMP007,152,0.74,44.2,2025-11-14 20:33:43
EMP039,146,0.71,39.1,2025-11-14 21:44:00
EMP005,157,0.77,48.45,2025-11-14 22:56:18
EMP074,135,0.66,29.75,2025-11-15 00:16:27
EMP054,143,0.7,36.55,2025-11-15 00:33:34
EMP012,113,0.55,11.05,2025-11-15 00:52:21
EMP012,109,0.53,7.65,2025-11-15 03:29:22
EMP013,112,0.55,10.2,2025-11-15 03:43:23
EMP075,162,0.79,52.7,2025-11-15 05:45:13
EMP062,106,0.52,5.1,2025-11-15 05:45:35
EMP015,154,0.75,45.9,2025-11-15 06:42:37
EMP026,102,0.5,1.7,2025-11-15 07:21:00
EMP042,131,0.64,26.35,2025-11-15 07:23:33
EMP004,164,0.8,54.4,2025-11-15 07:46:42
EMP051,117,0.57,14.45,2025-11-15 08:02:05
EMP055,137,0.67,31.45,2025-11-15 08:13:54
EMP031,158,0.77,49.3,2025-11-15 10:03:21
EMP036,292,1.43,163.2,2025-11-15 10:04:00
EMP039,170,0.83,59.5,2025-11-15 10:37:19
EMP038,132,0.65,27.2,2025-11-15 10:55:03
EMP009,140,0.68,34.0,2025-11-15 11:47:17
EMP013,134,0.65,28.9,2025-11-15 12:13:11
EMP063,155,0.76,46.75,2025-11-15 12:20:51
EMP065,157,0.77,48.45,2025-11-15 12:27:16
EMP054,175,0.86,63.75,2025-11-15 12:28:39
EMP052,103,0.5,2.55,2025-11-15 12:51:31
EMP059,106,0.52,5.1,2025-11-15 14:22:32
EMP044,141,0.69,34.85,2025-11-15 15:32:25
EMP002,111,0.54,9.35,2025-11-15 16:03:45
EMP021,165,0.81,55.25,2025-11-15 16:44:36
EMP014,153,0.75,45.05,2025-11-15 18:27:27
EMP057,159,0.78,50.15,2025-11-15 18:58:59
EMP033,165,0.81,55.25,2025-11-15 19:37:20
EMP054,430,2.1,280.5,2025-11-15 21:04:18
EMP061,121,0.59,17.85,2025-11-15 21:18:09
EMP070,129,0.63,24.65,2025-11-15 21:22:11
EMP033,171,0.84,60.35,2025-11-16 01:21:46
EMP055,526,2.57,362.1,2025-11-16 04:05:29
EMP047,138,0.67,32.3,2025-11-16 06:05:40
EMP006,199,0.97,84.15,2025-11-16 06:35:08
EMP019,126,0.62,22.1,2025-11-16 07:04:50
EMP030,163,0.8,53.55,2025-11-16 07:38:07
EMP019,138,0.67,32.3,2025-11-16 08:32:50
EMP012,110,0.54,8.5,2025-11-16 09:54:01
EMP065,163,0.8,53.55,2025-11-16 10:54:58
EMP050,164,0.8,54.4,2025-11-16 11:04:32
EMP052,180,0.88,68.0,2025-11-16 11:04:37
EMP007,129,0.63,24.65,2025-11-16 11:35:02
EMP013,156,0.76,47.6,2025-11-16 11:56:20
EMP058,156,0.76,47.6,2025-11-16 14:23:00
EMP049,143,0.7,36.55,2025-11-16 14:56:39
EMP053,121,0.59,17.85,2025-11-16 15:04:49
EMP019,132,0.65,27.2,2025-11-16 17:32:14
EMP016,120,0.59,17.0,2025-11-16 18:01:03
EMP030,170,0.83,59.5,2025-11-16 18:01:11
EMP050,144,0.7,37.4,2025-11-16 18:10:29
EMP011,173,0.85,62.05,2025-11-16 18:41:38
EMP036,175,0.86,63.75,2025-11-16 19:35:18
EMP061,124,0.61,20.4,2025-11-16 21:30:54
EMP038,206,1.01,90.1,2025-11-16 21:52:08
EMP035,170,0.83,59.5,2025-11-16 22:19:36
EMP074,142,0.69,35.7,2025-11-16 22:58:31
EMP047,118,0.58,15.3,2025-11-16 23:54:23
EMP021,138,0.67,32.3,2025-11-16 23:59:21
EMP016,153,0.75,45.05,2025-11-17 00:38:07
EMP009,123,0.6,19.55,2025-11-17 01:41:13
EMP071,111,0.54,9.35,2025-11-17 06:27:58
EMP008,128,0.63,23.8,2025-11-17 06:31:50
EMP014,421,2.06,272.85,2025-11-17 07:00:58
EMP019,176,0.86,64.6,2025-11-17 07:14:51
EMP007,107,0.52,5.95,2025-11-17 07:27:54
EMP011,118,0.58,15.3,2025-11-17 08:10:26
EMP059,173,0.85,62.05,2025-11-17 08:34:54
EMP008,111,0.54,9.35,2025-11-17 09:15:10
EMP056,101,0.49,0.85,2025-11-17 10:59:25
EMP001,133,0.65,28.05,2025-11-17 11:14:53
EMP006,160,0.78,51.0,2025-11-17 13:01:28
EMP006,141,0.69,34.85,2025-11-17 14:07:39
EMP065,687,3.36,498.95,2025-11-17 14:19:10
EMP044,116,0.57,13.6,2025-11-17 15:59:38
EMP043,141,0.69,34.85,2025-11-17 16:22:08
EMP069,115,0.56,12.75,2025-11-17 16:39:14
EMP057,167,0.82,56.95,2025-11-17 17:03:39
EMP028,219,1.07,101.15,2025-11-17 17:55:02
EMP039,153,0.75,45.05,2025-11-17 18:05:05
EMP027,171,0.84,60.35,2025-11-17 18:07:36
EMP031,117,0.57,14.45,2025-11-17 18:15:55
EMP050,123,0.6,19.55,2025-11-17 18:17:38
EMP040,122,0.6,18.7,2025-11-17 19:58:34
EMP032,172,0.84,61.2,2025-11-17 20:00:05
EMP040,177,0.87,65.45,2025-11-17 20:42:41
EMP010,100,0.49,0.0,2025-11-17 22:01:13
EMP055,115,0.56,12.75,2025-11-17 22:38:36
EMP013,105,0.51,4.25,2025-11-17 23:26:48
EMP057,145,0.71,38.25,2025-11-17 23:41:23
EMP001,169,0.83,58.65,2025-11-18 00:49:55
EMP002,125,0.61,21.25,2025-11-18 00:50:01
EMP075,128,0.63,23.8,2025-11-18 00:51:14
EMP070,126,0.62,22.1,2025-11-18 01:48:02
EMP007,165,0.81,55.25,2025-11-18 02:04:50
EMP071,170,0.83,59.5,2025-11-18 02:19:49
EMP006,106,0.52,5.1,2025-11-18 02:42:22
EMP012,102,0.5,1.7,2025-11-18 02:42:59
EMP005,102,0.5,1.7,2025-11-18 02:44:45
EMP006,124,0.61,20.4,2025-11-18 03:52:00
EMP036,132,0.65,27.2,2025-11-18 04:22:06
EMP022,119,0.58,16.15,2025-11-18 05:06:56
EMP029,145,0.71,38.25,2025-11-18 05:11:00
EMP049,144,0.7,37.4,2025-11-18 05:38:18
EMP007,119,0.58,16.15,2025-11-18 06:48:07
EMP025,150,0.73,42.5,2025-11-18 08:01:31
EMP053,132,0.65,27.2,2025-11-18 08:35:01
EMP005,106,0.52,5.1,2025-11-18 09:25:10
EMP043,103,0.5,2.55,2025-11-18 11:08:09
EMP012,142,0.69,35.7,2025-11-18 12:13:37
EMP040,153,0.75,45.05,2025-11-18 12:28:56
EMP044,170,0.83,59.5,2025-11-18 12:35:12
EMP020,133,0.65,28.05,2025-11-18 13:57:17
EMP015,120,0.59,17.0,2025-11-18 14:20:30
EMP004,158,0.77,49.3,2025-11-18 16:09:04
EMP068,109,0.53,7.65,2025-11-18 16:52:20
EMP010,103,0.5,2.55,2025-11-18 17:15:52
EMP025,456,2.23,302.6,2025-11-18 17:18:37
EMP045,781,3.82,578.85,2025-11-18 18:33:42
EMP013,130,0.64,25.5,2025-11-18 19:25:38
EMP015,119,0.58,16.15,2025-11-18 19:31:49
EMP044,143,0.7,36.55,2025-11-18 20:46:56
EMP044,168,0.82,57.8,2025-11-18 20:48:02
EMP017,258,1.26,134.3,2025-11-18 21:30:24
EMP054,118,0.58,15.3,2025-11-19 00:21:29
EMP015,158,0.77,49.3,2025-11-19 00:38:57
EMP004,130,0.64,25.5,2025-11-19 00:58:49
EMP008,171,0.84,60.35,2025-11-19 02:47:06
EMP012,100,0.49,0.0,2025-11-19 03:03:56
EMP007,176,0.86,64.6,2025-11-19 03:05:02
EMP004,116,0.57,13.6,2025-11-19 04:32:48
EMP024,112,0.55,10.2,2025-11-19 05:35:10
EMP064,172,0.84,61.2,2025-11-19 05:37:43
EMP024,159,0.78,50.15,2025-11-19 05:38:15
EMP031,165,0.81,55.25,2025-11-19 06:19:36
EMP068,146,0.71,39.1,2025-11-19 07:44:49
EMP068,108,0.53,6.8,2025-11-19 10:41:10
EMP014,151,0.74,43.35,2025-11-19 12:06:35
EMP023,160,0.78,51.0,2025-11-19 12:37:08
EMP017,168,0.82,57.8,2025-11-19 13:21:24
EMP028,130,0.64,25.5,2025-11-19 13:27:00
EMP040,283,1.38,155.55,2025-11-19 13:28:54
EMP071,134,0.65,28.9,2025-11-19 14:22:11
EMP047,168,0.82,57.8,2025-11-19 14:39:32
EMP028,475,2.32,318.75,2025-11-19 15:17:32
